Energy,w_in
2.000000000000000000e+00, 0.000000000000000000e+00
2.100000000000000089e+00, 0.000000000000000000e+00
2.200000000000000178e+00, 0.000000000000000000e+00
2.300000000000000266e+00, 0.000000000000000000e+00
2.400000000000000355e+00, 0.000000000000000000e+00
2.500000000000000444e+00, 0.000000000000000000e+00
2.600000000000000533e+00, 0.000000000000000000e+00
2.700000000000000622e+00, 0.000000000000000000e+00
2.800000000000000711e+00, 0.000000000000000000e+00
2.900000000000000799e+00, 0.000000000000000000e+00
3.000000000000000888e+00, 0.000000000000000000e+00
3.100000000000000977e+00, 0.000000000000000000e+00
3.200000000000001066e+00, 0.000000000000000000e+00
3.300000000000001155e+00, 0.000000000000000000e+00
3.400000000000001243e+00, 0.000000000000000000e+00
3.500000000000001332e+00, 0.000000000000000000e+00
3.600000000000001421e+00, 0.000000000000000000e+00
3.700000000000001510e+00, 0.000000000000000000e+00
3.800000000000001599e+00, 0.000000000000000000e+00
3.900000000000001688e+00, 0.000000000000000000e+00
4.000000000000001776e+00, 0.000000000000000000e+00
4.100000000000001421e+00, 0.000000000000000000e+00
4.200000000000001954e+00, 0.000000000000000000e+00
4.300000000000002487e+00, 0.000000000000000000e+00
4.400000000000002132e+00, 0.000000000000000000e+00
4.500000000000001776e+00, 0.000000000000000000e+00
4.600000000000002309e+00, 0.000000000000000000e+00
4.700000000000002842e+00, 0.000000000000000000e+00
4.800000000000002487e+00, 0.000000000000000000e+00
4.900000000000002132e+00, 0.000000000000000000e+00
5.000000000000002665e+00, 0.000000000000000000e+00
5.100000000000003197e+00, 0.000000000000000000e+00
5.200000000000002842e+00, 0.000000000000000000e+00
5.300000000000002487e+00, 0.000000000000000000e+00
5.400000000000003020e+00, 0.000000000000000000e+00
5.500000000000003553e+00, 0.000000000000000000e+00
5.600000000000003197e+00, 0.000000000000000000e+00
5.700000000000002842e+00, 0.000000000000000000e+00
5.800000000000003375e+00, 0.000000000000000000e+00
5.900000000000003908e+00, 0.000000000000000000e+00
6.000000000000003553e+00, 0.000000000000000000e+00
6.100000000000003197e+00, 0.000000000000000000e+00
6.200000000000003730e+00, 0.000000000000000000e+00
6.300000000000004263e+00, 0.000000000000000000e+00
6.400000000000003908e+00, 0.000000000000000000e+00
6.500000000000003553e+00, 0.000000000000000000e+00
6.600000000000004086e+00, 0.000000000000000000e+00
6.700000000000004619e+00, 0.000000000000000000e+00
6.800000000000004263e+00, 0.000000000000000000e+00
6.900000000000003908e+00, 0.000000000000000000e+00
7.000000000000004441e+00, 0.000000000000000000e+00
7.100000000000004974e+00, 0.000000000000000000e+00
7.200000000000004619e+00, 0.000000000000000000e+00
7.300000000000004263e+00, 0.000000000000000000e+00
7.400000000000004796e+00, 0.000000000000000000e+00
7.500000000000005329e+00, 0.000000000000000000e+00
7.600000000000004974e+00, 0.000000000000000000e+00
7.700000000000004619e+00, 0.000000000000000000e+00
7.800000000000005151e+00, 0.000000000000000000e+00
7.900000000000005684e+00, 0.000000000000000000e+00
8.000000000000005329e+00, 0.000000000000000000e+00
8.100000000000004974e+00, 0.000000000000000000e+00
8.200000000000006395e+00, 0.000000000000000000e+00
8.300000000000006040e+00, 0.000000000000000000e+00
8.400000000000005684e+00, 0.000000000000000000e+00
8.500000000000005329e+00, 0.000000000000000000e+00
8.600000000000004974e+00, 0.000000000000000000e+00
8.700000000000006395e+00, 0.000000000000000000e+00
8.800000000000006040e+00, 0.000000000000000000e+00
8.900000000000005684e+00, 0.000000000000000000e+00
9.000000000000007105e+00, 1.000000000000000000e+02
9.100000000000006750e+00, 0.000000000000000000e+00
9.200000000000006395e+00, 0.000000000000000000e+00
9.300000000000006040e+00, 0.000000000000000000e+00
9.400000000000005684e+00, 0.000000000000000000e+00
9.500000000000007105e+00, 0.000000000000000000e+00
9.600000000000006750e+00, 0.000000000000000000e+00
9.700000000000006395e+00, 0.000000000000000000e+00
9.800000000000007816e+00, 0.000000000000000000e+00
